time	V(out)
Step Information: X=100n Y=1K  (Run: 1/6)
2.021372565641441e-003	2.158090e-001
2.044810065641442e-003	2.747424e-001
2.071177253141443e-003	3.357652e-001
2.103403815641444e-003	4.034203e-001
2.138560065641446e-003	4.693915e-001
2.179575690641447e-003	5.371956e-001
2.220591315641449e-003	5.963352e-001
2.261606940641450e-003	6.479177e-001
2.302622565641452e-003	6.929087e-001
2.343638190641454e-003	7.321505e-001
2.384653815641455e-003	7.663777e-001
2.425669440641457e-003	7.962313e-001
2.466685065641458e-003	8.222700e-001
2.501000000000000e-003	8.414836e-001
2.502000000000000e-003	8.403320e-001
2.544521015625002e-003	7.292985e-001
2.585536640625004e-003	6.361048e-001
2.626552265625005e-003	5.548199e-001
2.667567890625007e-003	4.839220e-001
2.708583515625009e-003	4.220838e-001
2.737880390625010e-003	3.828131e-001
2.778896015625011e-003	3.338951e-001
2.819911640625013e-003	2.912282e-001
2.860927265625014e-003	2.540135e-001
2.901942890625016e-003	2.215542e-001
2.942958515625017e-003	1.932428e-001
2.983974140625019e-003	1.685492e-001
2.999215312498521e-003	1.601965e-001
3.000000000000000e-003	1.597778e-001
Step Information: X=100n Y=10K  (Run: 4/6)
0.000000000000000e+000	0.000000e+000
2.400000198576890e-007	3.599538e-005
5.199999602846219e-007	1.359748e-004
7.599994837000847e-007	2.983171e-004
1.000000000000000e-006	4.998305e-004
1.576675655700892e-005	1.514866e-002
3.920425655700893e-005	3.796273e-002
7.143081905700896e-005	6.847167e-002
1.153761315570090e-004	1.085216e-001
1.710401940570090e-004	1.567891e-001
2.384230065570091e-004	2.117350e-001
3.175245690570092e-004	2.716857e-001
4.112745690570092e-004	3.368623e-001
5.010000000000000e-004	3.937727e-001
5.020000000000001e-004	3.938745e-001
6.441303906250010e-004	3.416900e-001
7.847553906250011e-004	2.968654e-001
9.253803906250013e-004	2.579211e-001
1.000000000000000e-003	2.393751e-001
1.000235406250011e-003	2.393619e-001
1.001000000000000e-003	2.396388e-001
1.085825690624658e-003	3.014757e-001
1.185435065624655e-003	3.677022e-001
1.299692878124650e-003	4.359727e-001
1.431528815624646e-003	5.056387e-001
1.501000000000000e-003	5.388178e-001
1.502000000000000e-003	5.387746e-001
1.641200703124985e-003	4.687636e-001
1.781825703124980e-003	4.072688e-001
1.922450703124975e-003	3.538412e-001
2.000000000000000e-003	3.274374e-001
2.001000000000000e-003	3.276130e-001
2.106333503141445e-003	3.948341e-001
2.229380378141449e-003	4.648989e-001
2.370005378141455e-003	5.350962e-001
2.501000000000000e-003	5.921769e-001
2.502000000000000e-003	5.920803e-001
2.641200703125006e-003	5.151426e-001
2.737880390625010e-003	4.676704e-001
2.878505390625015e-003	4.063191e-001
2.999215312498521e-003	3.601162e-001
3.000000000000000e-003	3.598337e-001
Step Information: X=200n Y=10K  (Run: 5/6)
0.000000000000000e+000	0.000000e+000
2.400000198576890e-007	1.799885e-005
5.999998014231095e-007	9.159008e-005
1.000000000000000e-006	2.499576e-004
2.748550655700892e-005	1.340160e-002
7.436050655700896e-005	3.625613e-002
1.417433190570090e-004	6.818514e-002
2.296339440570091e-004	1.082473e-001
3.409620690570092e-004	1.565296e-001
4.757276940570093e-004	2.114925e-001
5.010000000000000e-004	2.213939e-001
5.020000000000001e-004	2.215310e-001
7.847553906250011e-004	1.923248e-001
1.000000000000000e-003	1.727011e-001
1.001000000000000e-003	1.728663e-001
1.141489753124656e-003	2.289741e-001
1.308481940624650e-003	2.907374e-001
1.501000000000000e-003	3.558277e-001
1.501650781250001e-003	3.559130e-001
1.502000000000000e-003	3.558975e-001
1.784755390624980e-003	3.089767e-001
2.000000000000000e-003	2.774506e-001
2.001000000000000e-003	2.775634e-001
2.191294440641448e-003	3.431320e-001
2.411021003141456e-003	4.114748e-001
2.501000000000000e-003	4.373658e-001
2.502000000000000e-003	4.373949e-001
2.737880390625010e-003	3.887346e-001
2.999215312498521e-003	3.411182e-001
3.000000000000000e-003	3.409843e-001
Step Information: X=300n Y=10K  (Run: 6/6)
0.000000000000000e+000	0.000000e+000
5.199999602846219e-007	4.533053e-005
1.000000000000000e-006	1.666478e-004
4.213394405700893e-005	1.378189e-002
1.124464440570090e-004	3.662761e-002
2.149855065570091e-004	6.899900e-002
3.497511315570092e-004	1.098959e-001
5.010000000000000e-004	1.536593e-001
5.020000000000001e-004	1.537733e-001
9.312397656250013e-004	1.332730e-001
1.000000000000000e-003	1.302531e-001
1.001000000000000e-003	1.303774e-001
1.185435065624655e-003	1.822299e-001
1.405161628124647e-003	2.399843e-001
1.501000000000000e-003	2.638803e-001
1.502000000000000e-003	2.639576e-001
1.928310078124975e-003	2.289916e-001
2.000000000000000e-003	2.235843e-001
2.001000000000000e-003	2.236774e-001
2.249888190641450e-003	2.854838e-001
2.501000000000000e-003	3.428572e-001
2.501650781250000e-003	3.429168e-001
2.502000000000000e-003	3.429081e-001
2.737880390625010e-003	3.169791e-001
2.999215312498521e-003	2.905350e-001
3.000000000000000e-003	2.904590e-001
